Province;Total infected cases;Today infected cases;Deaths;Date
Hoa Binh;45;0;0;12-Thg8-21
Hai Phong;38;0;0;12-Thg8-21
Quang Tri;37;0;1;12-Thg8-21
Nam Dinh;35;0;0;12-Thg8-21
Ha Giang;24;0;0;12-Thg8-21
Kon Tum;20;0;0;12-Thg8-21
Thai Nguyen;19;0;0;12-Thg8-21
Phu Tho;18;0;0;12-Thg8-21
Yen Bai;7;0;0;12-Thg8-21
Bac Kan;6;0;0;12-Thg8-21
Tuyen Quang;2;0;0;12-Thg8-21
Lai Chau;2;0;0;12-Thg8-21
Ho Chi Minh;136,756;0;3807;13-Thg8-21
Binh Duong;36,765;0;284;13-Thg8-21
Long An;12,609;0;140;13-Thg8-21
Dong Nai;11,34;0;87;13-Thg8-21
Bac Giang;5,823;0;12;13-Thg8-21
Dong Thap;3,957;0;94;13-Thg8-21
Khanh Hoa;3,906;0;26;13-Thg8-21
Tien Giang;3,675;0;122;13-Thg8-21
Tay Ninh;3,351;0;7;13-Thg8-21
Ha Noi;2,565;0;30;13-Thg8-21
Ba Ria - Vung Tau;2,538;0;21;13-Thg8-21
Da Nang;2,312;0;45;13-Thg8-21
Can Tho;2,21;0;42;13-Thg8-21
Phu Yen;1,964;0;0;13-Thg8-21
Bac Ninh;1,759;0;15;13-Thg8-21
Vinh Long;1,446;0;22;13-Thg8-21
Binh Thuan;1,363;0;6;13-Thg8-21
Ben Tre;1,242;0;22;13-Thg8-21
Hai Duong;916;0;0;13-Thg8-21
An Giang;691;0;1;13-Thg8-21
Tra Vinh;664;0;4;13-Thg8-21
Ninh Thuan;558;0;3;13-Thg8-21
Kien Giang;523;0;3;13-Thg8-21
Soc Trang;470;0;4;13-Thg8-21
Nghe An;447;0;1;13-Thg8-21
Binh Dinh;424;0;3;13-Thg8-21
Quang Ngai;421;0;0;13-Thg8-21
Dak Lak;405;0;1;13-Thg8-21
Quang Nam;359;0;4;13-Thg8-21
Hau Giang;340;0;1;13-Thg8-21
Hung Yen;303;0;0;13-Thg8-21
Binh Phuoc;293;0;0;13-Thg8-21
Gia Lai;279;0;0;13-Thg8-21
Ha Tinh;274;0;2;13-Thg8-21
Vinh Phuc;254;0;1;13-Thg8-21
Thua Thien Hue;181;0;0;13-Thg8-21
Thanh Hoa;167;0;0;13-Thg8-21
Dak Nong;165;0;0;13-Thg8-21
Lam Dong;162;0;0;13-Thg8-21
Lang Son;140;0;1;13-Thg8-21
Bac Lieu;122;0;0;13-Thg8-21
Thai Binh;111;0;0;13-Thg8-21
Quang Ninh;104;0;0;13-Thg8-21
Ninh Binh;102;0;0;13-Thg8-21
Quang Binh;74;0;0;13-Thg8-21
Ha Nam;74;0;0;13-Thg8-21
Son La;68;0;0;13-Thg8-21
Dien Bien;61;0;0;13-Thg8-21
Lao Cai;58;0;0;13-Thg8-21
Ca Mau;56;0;1;13-Thg8-21
Hoa Binh;45;0;0;13-Thg8-21
Hai Phong;38;0;0;13-Thg8-21
Quang Tri;37;0;1;13-Thg8-21
Nam Dinh;37;0;0;13-Thg8-21
Ha Giang;24;0;0;13-Thg8-21
Kon Tum;21;0;0;13-Thg8-21
Thai Nguyen;19;0;0;13-Thg8-21
Phu Tho;18;0;0;13-Thg8-21
Yen Bai;7;0;0;13-Thg8-21
Bac Kan;6;0;0;13-Thg8-21
Lai Chau;2;0;0;13-Thg8-21
Tuyen Quang;2;0;0;13-Thg8-21
Ho Chi Minh;140,288;0;4030;14-Thg8-21
Binh Duong;39,581;0;309;14-Thg8-21
Long An;13,232;0;143;14-Thg8-21
Dong Nai;12,148;0;90;14-Thg8-21
Bac Giang;5,823;0;12;14-Thg8-21
Khanh Hoa;4,149;0;28;14-Thg8-21
Dong Thap;4,109;0;98;14-Thg8-21
Tien Giang;3,675;0;129;14-Thg8-21
Tay Ninh;3,412;0;7;14-Thg8-21
Ha Noi;2,662;0;30;14-Thg8-21
Ba Ria - Vung Tau;2,607;0;21;14-Thg8-21
Da Nang;2,37;0;45;14-Thg8-21
Can Tho;2,352;0;43;14-Thg8-21
Phu Yen;2,028;0;0;14-Thg8-21
Bac Ninh;1,759;0;15;14-Thg8-21
Vinh Long;1,517;0;22;14-Thg8-21
Binh Thuan;1,391;0;9;14-Thg8-21
Ben Tre;1,242;0;26;14-Thg8-21
Hai Duong;920;0;0;14-Thg8-21
Tra Vinh;804;0;4;14-Thg8-21
An Giang;752;0;1;14-Thg8-21
Ninh Thuan;565;0;3;14-Thg8-21
Kien Giang;531;0;3;14-Thg8-21
Soc Trang;470;0;4;14-Thg8-21
Nghe An;461;0;1;14-Thg8-21
Binh Dinh;436;0;3;14-Thg8-21
Quang Ngai;431;0;0;14-Thg8-21
Dak Lak;412;0;1;14-Thg8-21
Quang Nam;363;0;4;14-Thg8-21
Hau Giang;343;0;1;14-Thg8-21
Hung Yen;325;0;0;14-Thg8-21
Binh Phuoc;300;0;0;14-Thg8-21
Gia Lai;297;0;0;14-Thg8-21
Ha Tinh;289;0;2;14-Thg8-21
Vinh Phuc;254;0;1;14-Thg8-21
Thua Thien Hue;212;0;0;14-Thg8-21
Dak Nong;181;0;0;14-Thg8-21
Thanh Hoa;171;0;0;14-Thg8-21
Lam Dong;164;0;0;14-Thg8-21
Lang Son;144;0;1;14-Thg8-21
Bac Lieu;127;0;0;14-Thg8-21
Thai Binh;111;0;0;14-Thg8-21
Quang Ninh;104;0;0;14-Thg8-21
Ninh Binh;102;0;0;14-Thg8-21
Quang Binh;78;0;0;14-Thg8-21
Ha Nam;74;0;0;14-Thg8-21
Son La;68;0;0;14-Thg8-21
Dien Bien;61;0;0;14-Thg8-21
Lao Cai;59;0;0;14-Thg8-21
Ca Mau;57;0;1;14-Thg8-21
Hoa Binh;45;0;0;14-Thg8-21
Quang Tri;45;0;1;14-Thg8-21
Nam Dinh;38;0;0;14-Thg8-21
Hai Phong;38;0;0;14-Thg8-21
Ha Giang;24;0;0;14-Thg8-21
Kon Tum;21;0;0;14-Thg8-21
Thai Nguyen;19;0;0;14-Thg8-21
Phu Tho;18;0;0;14-Thg8-21
Yen Bai;7;0;0;14-Thg8-21
Bac Kan;6;0;0;14-Thg8-21
Lai Chau;2;0;0;14-Thg8-21
Tuyen Quang;2;0;0;14-Thg8-21
Ho Chi Minh;144,519;0;4315;15-Thg8-21
Binh Duong;41,61;0;341;15-Thg8-21
Long An;13,885;0;153;15-Thg8-21
Dong Nai;13,171;0;93;15-Thg8-21
Bac Giang;5,823;0;12;15-Thg8-21
